m, None
1.183000000000000151e-06,7.090546500000000085e-01
1.183499999999999977e-06,7.356196000000000401e-01
1.184000000000000014e-06,6.750347599999999559e-01
1.184500000000000052e-06,5.963380900000000429e-01
1.185000000000000089e-06,6.091691900000000270e-01
1.185499999999999915e-06,7.089520099999999658e-01
1.185999999999999953e-06,7.537487099999999884e-01
1.186500000000000202e-06,7.299055500000000141e-01
1.187000000000000028e-06,6.794308999999999488e-01
1.187500000000000065e-06,5.942758900000000288e-01
1.187999999999999891e-06,5.314379900000000267e-01
1.188499999999999929e-06,5.657113200000000175e-01
1.188999999999999966e-06,6.686880600000000285e-01
1.189500000000000004e-06,7.386928799999999962e-01
1.190000000000000041e-06,7.429337499999999483e-01
1.190499999999999867e-06,7.054271699999999923e-01
